Question_ID,Question_Text,Subject_Domain,Topic_Subdomain,Bloom_Taxonomy,Exam_Type,Estimated_Duration_Mins,Student_Avg_Score,Pass_Rate,Difficulty_Level
QID_16947,Identify Probability,Mathematics,Probability,Remember,Final,25,4.1,82.7,Easy
QID_11952,Derive the formula for Mechanics considering edge cases.,Physics,Mechanics,Evaluate,Midterm,29,2.1,41.6,Hard
QID_20533,Explain how Quantum Physics in a standard system.,Physics,Quantum Physics,Apply,Midterm,17,3.3,66.3,Medium
QID_16053,List Relativity in simple terms.,Physics,Relativity,Remember,Midterm,13,4.7,94.0,Easy
QID_17732,Identify AI in simple terms.,Computer Science,AI,Remember,Final,11,3.9,78.8,Easy
QID_21288,Describe Database diagrammatically.,Computer Science,Database,Apply,Midterm,25,2.1,41.7,Hard
QID_12732,Derive the formula for AI considering edge cases.,Computer Science,AI,Evaluate,Quiz,22,1.5,29.6,Hard
QID_15218,Identify Geometry as defined in the textbook.,Mathematics,Geometry,Remember,Midterm,9,4.3,86.4,Easy
QID_12522,Derive the formula for Algorithms under extreme constraints.,Computer Science,Algorithms,Evaluate,Quiz,29,1.9,38.6,Hard
QID_20932,Outline Linear Algebra for a specific case.,Mathematics,Linear Algebra,Apply,Midterm,22,2.6,52.6,Medium
QID_15245,Name Data Structures,Computer Science,Data Structures,Remember,Midterm,21,4.6,92.4,Easy
QID_14822,Name Mechanics as defined in the textbook.,Physics,Mechanics,Remember,Final,14,4.4,88.4,Easy
QID_21401,Calculate Thermodynamics diagrammatically.,Physics,Thermodynamics,Apply,Final,9,3.5,69.8,Medium
QID_20256,Explain how Algorithms using an example.,Computer Science,Algorithms,Apply,Quiz,7,2.6,52.4,Medium
QID_15657,Calculate Linear Algebra using an example.,Mathematics,Linear Algebra,Apply,Final,7,3.1,62.3,Medium
QID_20004,Synthesize Database considering edge cases.,Computer Science,Database,Evaluate,Midterm,14,2.4,47.7,Medium
QID_14870,What is Relativity in simple terms.,Physics,Relativity,Remember,Quiz,22,4.6,91.7,Easy
QID_13272,Synthesize Thermodynamics considering edge cases.,Physics,Thermodynamics,Evaluate,Midterm,7,2.4,48.3,Medium
QID_21457,Evaluate the limitations of Probability under extreme constraints.,Mathematics,Probability,Evaluate,Final,24,2.3,46.9,Medium
QID_11891,Critically analyze Relativity considering edge cases.,Physics,Relativity,Evaluate,Quiz,23,0.9,18.8,Hard
QID_14619,List Database as defined in the textbook.,Computer Science,Database,Remember,Quiz,15,4.4,88.1,Easy
QID_19856,Explain how Probability diagrammatically.,Mathematics,Probability,Apply,Quiz,25,2.6,52.5,Medium
QID_10295,Describe Quantum Physics diagrammatically.,Physics,Quantum Physics,Apply,Midterm,27,2.8,56.4,Medium
QID_13656,What is Calculus in simple terms.,Mathematics,Calculus,Remember,Final,15,4.5,90.6,Easy
QID_12470,Outline Geometry for a specific case.,Mathematics,Geometry,Apply,Quiz,19,3.5,70.6,Medium
QID_21376,Critically analyze Mechanics with mathematical proofs.,Physics,Mechanics,Evaluate,Quiz,30,2.7,54.5,Medium
QID_12585,Describe Data Structures for a specific case.,Computer Science,Data Structures,Apply,Final,16,2.9,57.6,Medium
QID_11785,Evaluate the limitations of Networking in distributed latency environments.,Computer Science,Networking,Evaluate,Quiz,13,1.3,26.9,Hard
QID_20349,Derive the formula for Optics with mathematical proofs.,Physics,Optics,Evaluate,Midterm,30,1.1,22.1,Hard
QID_10286,Explain how Calculus in a standard system.,Mathematics,Calculus,Apply,Quiz,28,3.0,60.6,Medium
QID_16438,Hypothesize Quantum Physics in distributed latency environments.,Physics,Quantum Physics,Evaluate,Final,26,1.8,36.0,Hard
QID_13804,Compare Relativity diagrammatically.,Physics,Relativity,Apply,Final,30,3.3,66.3,Medium
QID_11758,Define Thermodynamics,Physics,Thermodynamics,Remember,Midterm,15,4.3,85.7,Easy
QID_14475,,Physics,Mechanics,Remember,Final,16,4.5,89.2,Easy
QID_11284,State Networking in simple terms.,Computer Science,Networking,Remember,Final,26,4.3,86.1,Easy
QID_16372,Name AI,Computer Science,AI,Remember,Midterm,12,4.1,82.2,Easy
QID_16307,Illustrate Relativity for a specific case.,Physics,Relativity,Apply,Midterm,26,2.8,56.7,Medium
QID_20385,Define Algorithms,Computer Science,Algorithms,Remember,Final,7,4.5,90.8,Easy
QID_14081,Outline Linear Algebra for a specific case.,Mathematics,Linear Algebra,Apply,Midterm,22,3.3,65.4,Medium
QID_18657,Critically analyze Statistics in distributed latency environments.,Mathematics,Statistics,Evaluate,Midterm,29,1.7,33.1,Hard
QID_18285,Illustrate Probability in a standard system.,Mathematics,Probability,Apply,Midterm,25,3.5,70.3,Medium
QID_21564,Derive the formula for Data Structures in distributed latency environments.,Computer Science,Data Structures,Evaluate,Quiz,12,3.0,60.8,Medium
QID_16779,Illustrate Calculus for a specific case.,Mathematics,Calculus,Apply,Final,14,2.7,53.4,Medium
QID_19034,Explain how Thermodynamics for a specific case.,Physics,Thermodynamics,Apply,Final,20,3.7,74.2,Medium
QID_10549,Compare Geometry diagrammatically.,Mathematics,Geometry,Apply,Quiz,12,3.1,61.1,Medium
QID_20196,State Probability,Mathematics,Probability,Remember,Midterm,15,4.4,88.1,Easy
QID_21160,Evaluate the limitations of Calculus with mathematical proofs.,Mathematics,Calculus,Evaluate,Final,9,1.7,34.4,Hard
QID_14450,Evaluate the limitations of Statistics in distributed latency environments.,Mathematics,Statistics,Evaluate,Quiz,9,1.9,38.5,Hard
QID_13017,Compare Algorithms in a standard system.,Computer Science,Algorithms,Apply,Quiz,7,2.8,55.7,Medium
QID_16861,Synthesize Data Structures under extreme constraints.,Computer Science,Data Structures,Evaluate,Midterm,23,2.7,54.5,Medium
QID_15493,Illustrate Relativity using an example.,Physics,Relativity,Apply,Midterm,7,3.5,69.6,Medium
QID_13116,Evaluate the limitations of Quantum Physics considering edge cases.,Physics,Quantum Physics,Evaluate,Quiz,11,1.1,21.7,Hard
QID_15936,Hypothesize Optics considering edge cases.,Physics,Optics,Evaluate,Midterm,7,1.6,32.0,Hard
QID_20772,State Quantum Physics as defined in the textbook.,Physics,Quantum Physics,Remember,Final,9,4.2,84.2,Easy
QID_21121,Synthesize Statistics with mathematical proofs.,Mathematics,Statistics,Evaluate,Final,9,1.1,23.0,Hard
QID_14962,Evaluate the limitations of AI under extreme constraints.,Computer Science,AI,Evaluate,Quiz,21,2.3,45.9,Medium
QID_19663,Outline Algorithms using an example.,Computer Science,Algorithms,Apply,Quiz,7,3.3,66.9,Medium
QID_20070,Define Statistics briefly.,Mathematics,Statistics,Remember,Final,25,4.2,83.9,Easy
QID_19491,Evaluate the limitations of Quantum Physics in distributed latency environments.,Physics,Quantum Physics,Evaluate,Final,16,1.8,36.0,Hard
QID_12377,Define Mechanics,Physics,Mechanics,Remember,Quiz,29,4.8,95.2,Easy
QID_13708,State Optics briefly.,Physics,Optics,Remember,Midterm,16,4.6,91.3,Easy
QID_14099,Calculate Statistics for a specific case.,Mathematics,Statistics,Apply,Final,26,3.1,62.4,Medium
QID_21292,Compare Geometry for a specific case.,Mathematics,Geometry,Apply,Final,18,3.4,67.1,Medium
QID_15421,Calculate Linear Algebra in a standard system.,Mathematics,Linear Algebra,Apply,Final,12,2.9,57.9,Medium
QID_15943,Compare Data Structures for a specific case.,Computer Science,Data Structures,Apply,Final,16,2.6,51.5,Medium
QID_16730,Evaluate the limitations of Probability considering edge cases.,Mathematics,Probability,Evaluate,Quiz,28,2.2,43.4,Hard
QID_13139,Describe Probability diagrammatically.,Mathematics,Probability,Apply,Quiz,27,3.3,65.1,Medium
QID_12954,Describe Relativity for a specific case.,Physics,Relativity,Apply,Final,29,3.9,78.9,Easy
QID_18649,State Networking,Computer Science,Networking,Remember,Midterm,17,4.2,83.2,Easy
QID_14768,Critically analyze Calculus with mathematical proofs.,Mathematics,Calculus,Evaluate,Final,23,1.8,36.1,Hard
QID_17283,Explain how Linear Algebra diagrammatically.,Mathematics,Linear Algebra,Apply,Quiz,11,3.7,73.8,Medium
QID_14329,Explain how Quantum Physics diagrammatically.,Physics,Quantum Physics,Apply,Quiz,9,4.4,88.8,Easy
QID_11303,Identify AI as defined in the textbook.,Computer Science,AI,Remember,Midterm,8,4.8,95.5,Easy
QID_16131,Synthesize Mechanics under extreme constraints.,Physics,Mechanics,Evaluate,Midterm,14,1.7,33.4,Hard
QID_18410,Evaluate the limitations of Thermodynamics under extreme constraints.,Physics,Thermodynamics,Evaluate,Midterm,21,2.1,42.5,Hard
QID_14532,State Thermodynamics briefly.,Physics,Thermodynamics,Remember,Midterm,27,4.4,88.3,Easy
QID_15508,Define Linear Algebra as defined in the textbook.,Mathematics,Linear Algebra,Remember,Quiz,19,3.9,78.1,Easy
QID_14714,Hypothesize Algorithms under extreme constraints.,Computer Science,Algorithms,Evaluate,Quiz,17,2.3,46.8,Medium
QID_17566,Derive the formula for Database considering edge cases.,Computer Science,Database,Evaluate,Final,30,2.5,49.5,Medium
QID_19003,Evaluate the limitations of Calculus in distributed latency environments.,Mathematics,Calculus,Evaluate,Quiz,5,1.7,33.0,Hard
QID_18674,Hypothesize Statistics in distributed latency environments.,Mathematics,Statistics,Evaluate,Midterm,10,2.5,49.0,Medium
QID_21354,Identify Relativity in simple terms.,Physics,Relativity,Remember,Quiz,24,4.4,87.1,Easy
QID_20228,Define Geometry as defined in the textbook.,Mathematics,Geometry,Remember,Final,11,4.5,90.9,Easy
QID_18404,Explain how Probability using an example.,Mathematics,Probability,Apply,Quiz,19,2.8,55.9,Medium
QID_18869,Evaluate the limitations of Data Structures under extreme constraints.,Computer Science,Data Structures,Evaluate,Midterm,6,1.6,32.0,Hard
QID_19663,Outline Algorithms using an example.,Computer Science,Algorithms,Apply,Quiz,7,3.3,66.9,Medium
QID_13522,Explain how Data Structures diagrammatically.,Computer Science,Data Structures,Apply,Midterm,19,3.2,64.1,Medium
QID_15667,Synthesize Calculus with mathematical proofs.,Mathematics,Calculus,Evaluate,Quiz,28,1.7,34.1,Hard
QID_17908,List Database in simple terms.,Computer Science,Database,Remember,Final,30,4.5,89.2,Easy
QID_12771,Critically analyze Database in distributed latency environments.,Computer Science,Database,Evaluate,Midterm,6,1.7,34.9,Hard
QID_21341,Explain how Statistics for a specific case.,Mathematics,Statistics,Apply,Final,16,3.2,64.8,Medium
QID_21331,Evaluate the limitations of Database under extreme constraints.,Computer Science,Database,Evaluate,Midterm,6,2.0,40.5,Hard
QID_18151,Compare Relativity using an example.,Physics,Relativity,Apply,Final,22,3.4,67.8,Medium
QID_19733,Illustrate Calculus using an example.,Mathematics,Calculus,Apply,Final,28,2.6,52.4,Medium
QID_10467,What is Geometry as defined in the textbook.,Mathematics,Geometry,Remember,Quiz,26,4.4,88.9,Easy
QID_16496,Define Quantum Physics in simple terms.,Physics,Quantum Physics,Remember,Midterm,10,4.8,95.1,Easy
QID_17756,Hypothesize Database considering edge cases.,Computer Science,Database,Evaluate,Final,18,0.9,18.0,Hard
QID_12981,Outline Geometry diagrammatically.,Mathematics,Geometry,Apply,Quiz,23,2.9,57.3,Medium
QID_15259,Derive the formula for Calculus considering edge cases.,Mathematics,Calculus,Evaluate,Final,27,0.9,17.6,Hard
QID_10106,Derive the formula for Database under extreme constraints.,Computer Science,Database,Evaluate,Quiz,29,2.3,46.5,Medium
QID_15527,Derive the formula for Database with mathematical proofs.,Computer Science,Database,Evaluate,Final,18,2.0,39.1,Hard
QID_20860,Critically analyze Thermodynamics in distributed latency environments.,Physics,Thermodynamics,Evaluate,Final,13,1.7,33.1,Hard
QID_13721,Name AI in simple terms.,Computer Science,AI,Remember,Final,29,4.8,96.9,Easy
QID_15524,Describe Relativity diagrammatically.,Physics,Relativity,Apply,Final,12,3.5,69.5,Medium
QID_10411,Describe Calculus for a specific case.,Mathematics,Calculus,Apply,Final,16,2.8,55.1,Medium
QID_16098,Compare Geometry for a specific case.,Mathematics,Geometry,Apply,Quiz,21,2.4,47.8,Medium
QID_17047,State Geometry,Mathematics,Geometry,Remember,Final,10,4.3,85.5,Easy
QID_20398,Explain how Networking diagrammatically.,Computer Science,Networking,Apply,Final,5,3.3,65.4,Medium
QID_20126,Define AI in simple terms.,Computer Science,AI,Remember,Midterm,16,4.1,82.6,Easy
QID_13819,Illustrate Optics in a standard system.,Physics,Optics,Apply,Midterm,9,3.3,65.7,Medium
QID_15362,Hypothesize Database with mathematical proofs.,Computer Science,Database,Evaluate,Midterm,7,2.1,41.5,Hard
QID_21308,Calculate Geometry in a standard system.,Mathematics,Geometry,Apply,Quiz,5,2.5,50.6,Medium
QID_17838,Compare Networking using an example.,Computer Science,Networking,Apply,Midterm,29,2.2,44.5,Hard
QID_20521,Synthesize Linear Algebra with mathematical proofs.,Mathematics,Linear Algebra,Evaluate,Final,9,2.0,39.7,Hard
QID_19241,Synthesize Optics in distributed latency environments.,Physics,Optics,Evaluate,Quiz,12,1.5,30.9,Hard
QID_14742,What is Linear Algebra,Mathematics,Linear Algebra,Remember,Midterm,12,4.1,82.5,Easy
QID_19525,Compare AI in a standard system.,Computer Science,AI,Apply,Midterm,10,2.8,56.1,Medium
QID_14336,Illustrate Thermodynamics in a standard system.,Physics,Thermodynamics,Apply,Midterm,29,3.1,62.3,Medium
QID_20028,State Mechanics briefly.,Physics,Mechanics,Remember,Quiz,22,4.5,90.3,Easy
QID_20964,Outline Geometry in a standard system.,Mathematics,Geometry,Apply,Quiz,6,2.8,55.9,Medium
QID_11862,Synthesize Database considering edge cases.,Computer Science,Database,Evaluate,Midterm,19,2.5,49.5,Medium
QID_16072,Evaluate the limitations of Quantum Physics considering edge cases.,Physics,Quantum Physics,Evaluate,Quiz,10,1.8,35.1,Hard
QID_19276,Critically analyze Algorithms under extreme constraints.,Computer Science,Algorithms,Evaluate,Quiz,12,1.8,35.7,Hard
QID_15071,Critically analyze Probability in distributed latency environments.,Mathematics,Probability,Evaluate,Final,9,2.3,45.2,Medium
QID_12360,Critically analyze Probability considering edge cases.,Mathematics,Probability,Evaluate,Final,18,2.1,42.0,Hard
QID_17838,Compare Networking using an example.,Computer Science,Networking,Apply,Midterm,29,2.2,44.5,Hard
QID_12133,Evaluate the limitations of Statistics with mathematical proofs.,Mathematics,Statistics,Evaluate,Final,11,1.5,29.3,Hard
QID_15270,State Relativity as defined in the textbook.,Physics,Relativity,Remember,Final,5,4.4,87.8,Easy
QID_12406,Critically analyze Relativity considering edge cases.,Physics,Relativity,Evaluate,Final,11,2.4,48.4,Medium
QID_10029,Describe Linear Algebra in a standard system.,Mathematics,Linear Algebra,Apply,Midterm,29,3.4,69.0,Medium
QID_14685,Compare Calculus using an example.,Mathematics,Calculus,Apply,Final,29,2.8,56.4,Medium
QID_13447,Compare AI diagrammatically.,Computer Science,AI,Apply,Midterm,30,3.4,67.6,Medium
QID_13352,Illustrate Data Structures diagrammatically.,Computer Science,Data Structures,Apply,Final,24,3.2,63.6,Medium
QID_14209,Critically analyze Calculus under extreme constraints.,Mathematics,Calculus,Evaluate,Quiz,8,1.7,34.9,Hard
QID_10568,Synthesize Data Structures in distributed latency environments.,Computer Science,Data Structures,Evaluate,Midterm,10,2.1,41.2,Hard
QID_16693,Define Geometry,Mathematics,Geometry,Remember,Final,25,4.1,82.5,Easy
QID_15676,What is Probability in simple terms.,Mathematics,Probability,Remember,Final,14,4.3,85.7,Easy
QID_11245,Synthesize Optics considering edge cases.,Physics,Optics,Evaluate,Midterm,20,1.0,21.0,Hard
QID_14902,Synthesize Calculus under extreme constraints.,Mathematics,Calculus,Evaluate,Midterm,16,1.8,35.9,Hard
QID_15813,Derive the formula for Database considering edge cases.,Computer Science,Database,Evaluate,Quiz,12,1.6,31.4,Hard
QID_11458,Hypothesize Geometry under extreme constraints.,Mathematics,Geometry,Evaluate,Midterm,23,1.5,30.5,Hard
QID_17741,Derive the formula for Quantum Physics under extreme constraints.,Physics,Quantum Physics,Evaluate,Midterm,15,1.4,28.8,Hard
QID_11835,Calculate Probability in a standard system.,Mathematics,Probability,Apply,Quiz,26,3.1,61.9,Medium
QID_10316,Hypothesize Linear Algebra with mathematical proofs.,Mathematics,Linear Algebra,Evaluate,Final,17,2.9,57.1,Medium
QID_10108,Explain how Relativity in a standard system.,Physics,Relativity,Apply,Final,20,3.3,65.3,Medium
QID_13422,Describe Data Structures for a specific case.,Computer Science,Data Structures,Apply,Quiz,24,3.3,66.7,Medium
QID_18653,Critically analyze Data Structures with mathematical proofs.,Computer Science,Data Structures,Evaluate,Quiz,20,1.2,23.8,Hard
QID_21890,What is Statistics as defined in the textbook.,Mathematics,Statistics,Remember,Midterm,17,4.4,87.2,Easy
QID_16443,Name Linear Algebra in simple terms.,Mathematics,Linear Algebra,Remember,Midterm,26,4.5,90.1,Easy
QID_20979,Name Mechanics,Physics,Mechanics,Remember,Midterm,5,4.5,90.5,Easy
QID_19236,Derive the formula for Calculus under extreme constraints.,Mathematics,Calculus,Evaluate,Final,27,1.9,38.9,Hard
QID_17798,Critically analyze Geometry with mathematical proofs.,Mathematics,Geometry,Evaluate,Quiz,18,1.5,29.1,Hard
QID_14047,Name Relativity as defined in the textbook.,Physics,Relativity,Remember,Quiz,6,4.5,90.4,Easy
QID_15042,Derive the formula for Linear Algebra considering edge cases.,Mathematics,Linear Algebra,Evaluate,Midterm,16,1.6,31.9,Hard
QID_17493,Describe Database diagrammatically.,Computer Science,Database,Apply,Final,14,3.3,66.0,Medium
QID_12927,Derive the formula for Thermodynamics in distributed latency environments.,Physics,Thermodynamics,Evaluate,Final,14,2.2,44.4,Hard
QID_21992,Name Optics,Physics,Optics,Remember,Final,20,4.2,84.6,Easy
QID_15829,Hypothesize Algorithms with mathematical proofs.,Computer Science,Algorithms,Evaluate,Final,15,1.4,27.2,Hard
QID_21900,Outline Calculus diagrammatically.,Mathematics,Calculus,Apply,Quiz,12,3.6,72.0,Medium
QID_14073,Describe Relativity diagrammatically.,Physics,Relativity,Apply,Midterm,24,2.9,57.2,Medium
QID_21993,Critically analyze Relativity under extreme constraints.,Physics,Relativity,Evaluate,Final,14,2.1,41.9,Hard
QID_13107,Define Calculus,Mathematics,Calculus,Remember,Final,11,4.4,87.1,Easy
QID_14617,Name Geometry briefly.,Mathematics,Geometry,Remember,Quiz,21,4.5,89.8,Easy
QID_19559,Identify Mechanics briefly.,Physics,Mechanics,Remember,Final,19,4.2,84.8,Easy
QID_14705,Compare Data Structures in a standard system.,Computer Science,Data Structures,Apply,Quiz,22,2.9,58.8,Medium
QID_16025,Derive the formula for Optics with mathematical proofs.,Physics,Optics,Evaluate,Final,14,1.5,29.4,Hard
QID_13679,Synthesize Quantum Physics considering edge cases.,Physics,Quantum Physics,Evaluate,Quiz,7,2.2,43.2,Hard
QID_10973,Outline Mechanics using an example.,Physics,Mechanics,Apply,Midterm,22,3.5,69.2,Medium
QID_17157,Evaluate the limitations of Quantum Physics considering edge cases.,Physics,Quantum Physics,Evaluate,Final,7,1.8,35.1,Hard
QID_14975,Synthesize Relativity with mathematical proofs.,Physics,Relativity,Evaluate,Quiz,17,1.9,37.5,Hard
QID_17222,Explain how Relativity diagrammatically.,Physics,Relativity,Apply,Quiz,17,2.7,54.2,Medium
QID_17716,Define Linear Algebra in simple terms.,Mathematics,Linear Algebra,Remember,Midterm,10,4.5,89.9,Easy
QID_21060,Identify Algorithms as defined in the textbook.,Computer Science,Algorithms,Remember,Final,25,4.5,89.6,Easy
QID_18816,Identify Geometry in simple terms.,Mathematics,Geometry,Remember,Quiz,21,4.0,80.1,Easy
QID_16210,Identify Relativity briefly.,Physics,Relativity,Remember,Final,7,4.9,98.1,Easy
QID_11374,Outline Data Structures in a standard system.,Computer Science,Data Structures,Apply,Final,22,3.9,78.1,Easy
QID_13353,Explain how Linear Algebra diagrammatically.,Mathematics,Linear Algebra,Apply,Final,29,2.7,54.1,Medium
QID_18710,Outline AI in a standard system.,Computer Science,AI,Apply,Quiz,16,2.7,53.6,Medium
QID_17766,Hypothesize AI with mathematical proofs.,Computer Science,AI,Evaluate,Final,29,2.3,46.7,Medium
QID_18516,Name Database as defined in the textbook.,Computer Science,Database,Remember,Final,13,4.6,92.3,Easy
QID_21907,Synthesize Thermodynamics under extreme constraints.,Physics,Thermodynamics,Evaluate,Final,27,1.3,25.6,Hard
QID_10010,Describe Geometry for a specific case.,Mathematics,Geometry,Apply,Midterm,6,3.4,68.1,Medium
QID_13449,Illustrate Database for a specific case.,Computer Science,Database,Apply,Midterm,15,3.1,62.6,Medium
QID_13678,Describe Optics using an example.,Physics,Optics,Apply,Midterm,14,3.0,60.5,Medium
QID_11426,Describe Quantum Physics using an example.,Physics,Quantum Physics,Apply,Final,11,2.9,58.2,Medium
QID_19933,Synthesize Mechanics considering edge cases.,Physics,Mechanics,Evaluate,Final,14,1.7,33.1,Hard
QID_16179,Compare Thermodynamics diagrammatically.,Physics,Thermodynamics,Apply,Final,11,3.0,60.5,Medium
QID_19809,Identify Data Structures briefly.,Computer Science,Data Structures,Remember,Final,10,4.6,92.1,Easy
QID_10718,Describe Calculus using an example.,Mathematics,Calculus,Apply,Final,7,3.1,63.0,Medium
QID_13889,Illustrate Relativity diagrammatically.,Physics,Relativity,Apply,Midterm,23,2.9,57.6,Medium
QID_13485,Synthesize Linear Algebra under extreme constraints.,Mathematics,Linear Algebra,Evaluate,Quiz,14,1.9,38.4,Hard
QID_18718,Synthesize Statistics under extreme constraints.,Mathematics,Statistics,Evaluate,Quiz,29,0.7,14.9,Hard
QID_21372,Evaluate the limitations of Data Structures considering edge cases.,Computer Science,Data Structures,Evaluate,Final,8,2.4,47.5,Medium
QID_10735,Compare Networking using an example.,Computer Science,Networking,Apply,Quiz,10,2.1,42.0,Hard
QID_14985,Evaluate the limitations of Geometry with mathematical proofs.,Mathematics,Geometry,Evaluate,Quiz,6,2.7,54.6,Medium
QID_17180,Describe Relativity using an example.,Physics,Relativity,Apply,Final,8,3.2,64.6,Medium
QID_21520,Define Database as defined in the textbook.,Computer Science,Database,Remember,Midterm,27,4.9,97.5,Easy
QID_13785,Synthesize AI considering edge cases.,Computer Science,AI,Evaluate,Midterm,29,2.3,45.3,Medium
QID_12140,Illustrate Algorithms diagrammatically.,Computer Science,Algorithms,Apply,Final,21,3.7,74.9,Medium
QID_15403,Hypothesize Thermodynamics in distributed latency environments.,Physics,Thermodynamics,Evaluate,Quiz,21,1.7,34.1,Hard
QID_20306,Illustrate Probability using an example.,Mathematics,Probability,Apply,Quiz,19,2.8,56.8,Medium
QID_10909,Critically analyze Geometry with mathematical proofs.,Mathematics,Geometry,Evaluate,Quiz,26,1.3,27.0,Hard
QID_16486,Compare Geometry diagrammatically.,Mathematics,Geometry,Apply,Final,10,3.2,64.3,Medium
QID_10496,Hypothesize Database under extreme constraints.,Computer Science,Database,Evaluate,Quiz,16,1.0,20.0,Hard
QID_19379,Identify Data Structures as defined in the textbook.,Computer Science,Data Structures,Remember,Quiz,5,4.2,83.1,Easy
QID_17169,Explain how Geometry in a standard system.,Mathematics,Geometry,Apply,Final,25,3.0,60.1,Medium
QID_18913,Hypothesize Networking under extreme constraints.,Computer Science,Networking,Evaluate,Quiz,14,1.8,36.7,Hard
QID_18447,What is Statistics as defined in the textbook.,Mathematics,Statistics,Remember,Quiz,16,4.4,87.4,Easy
QID_21756,Compare Quantum Physics in a standard system.,Physics,Quantum Physics,Apply,Final,10,2.5,50.8,Medium
QID_11206,Compare AI diagrammatically.,Computer Science,AI,Apply,Midterm,15,3.7,74.4,Medium
QID_15517,Outline Mechanics in a standard system.,Physics,Mechanics,Apply,Final,17,3.5,69.5,Medium
QID_14508,State Quantum Physics briefly.,Physics,Quantum Physics,Remember,Midterm,6,4.5,90.4,Easy
QID_20335,Evaluate the limitations of Mechanics considering edge cases.,Physics,Mechanics,Evaluate,Quiz,7,1.8,35.8,Hard
QID_11195,Critically analyze Thermodynamics with mathematical proofs.,Physics,Thermodynamics,Evaluate,Final,23,2.4,47.6,Medium
QID_18781,Illustrate Quantum Physics using an example.,Physics,Quantum Physics,Apply,Final,14,2.6,51.2,Medium
QID_17301,List Optics as defined in the textbook.,Physics,Optics,Remember,Final,21,3.8,75.2,Easy
QID_16714,List Networking as defined in the textbook.,Computer Science,Networking,Remember,Final,28,4.6,92.8,Easy
QID_14655,Derive the formula for AI in distributed latency environments.,Computer Science,AI,Evaluate,Quiz,7,1.8,36.2,Hard
QID_16423,State Data Structures as defined in the textbook.,Computer Science,Data Structures,Remember,Final,16,4.5,89.2,Easy
QID_13026,Explain how Quantum Physics in a standard system.,Physics,Quantum Physics,Apply,Final,27,2.7,54.4,Medium
QID_16756,Evaluate the limitations of Statistics considering edge cases.,Mathematics,Statistics,Evaluate,Final,18,1.5,30.0,Hard
QID_10288,What is Algorithms briefly.,Computer Science,Algorithms,Remember,Quiz,21,4.3,85.7,Easy
QID_12884,Synthesize Probability with mathematical proofs.,Mathematics,Probability,Evaluate,Quiz,5,1.7,33.0,Hard
QID_15652,Synthesize Mechanics considering edge cases.,Physics,Mechanics,Evaluate,Final,29,1.1,22.6,Hard
QID_15805,Synthesize Data Structures in distributed latency environments.,Computer Science,Data Structures,Evaluate,Midterm,22,2.8,56.4,Medium
QID_17066,Name Algorithms briefly.,Computer Science,Algorithms,Remember,Quiz,5,4.4,87.4,Easy
QID_18281,Evaluate the limitations of Mechanics in distributed latency environments.,Physics,Mechanics,Evaluate,Midterm,18,2.1,41.6,Hard
QID_18144,Outline Calculus using an example.,Mathematics,Calculus,Apply,Final,18,2.3,46.9,Medium
QID_10388,Calculate Statistics in a standard system.,Mathematics,Statistics,Apply,Final,13,2.9,57.8,Medium
QID_10836,Derive the formula for Mechanics in distributed latency environments.,Physics,Mechanics,Evaluate,Midterm,7,2.0,40.7,Hard
QID_19048,List Algorithms briefly.,Computer Science,Algorithms,Remember,Final,28,4.4,88.0,Easy
QID_17972,Describe Quantum Physics diagrammatically.,Physics,Quantum Physics,Apply,Midterm,14,3.3,65.7,Medium
QID_10280,Derive the formula for Database in distributed latency environments.,Computer Science,Database,Evaluate,Final,24,1.8,35.2,Hard
QID_20603,Synthesize Calculus considering edge cases.,Mathematics,Calculus,Evaluate,Midterm,18,1.5,29.7,Hard
QID_14682,Explain how Optics diagrammatically.,Physics,Optics,Apply,Final,6,3.2,64.4,Medium
QID_20438,Describe Optics in a standard system.,Physics,Optics,Apply,Final,11,2.6,52.9,Medium
QID_21015,What is Mechanics briefly.,Physics,Mechanics,Remember,Final,24,5.0,100.0,Easy
QID_11112,Critically analyze Linear Algebra under extreme constraints.,Mathematics,Linear Algebra,Evaluate,Midterm,14,1.9,38.1,Hard
QID_20781,Describe Thermodynamics diagrammatically.,Physics,Thermodynamics,Apply,Midterm,5,2.8,56.6,Medium
QID_20582,Identify Linear Algebra as defined in the textbook.,Mathematics,Linear Algebra,Remember,Final,5,4.5,90.7,Easy
QID_20289,Identify Networking as defined in the textbook.,Computer Science,Networking,Remember,Midterm,14,4.0,80.2,Easy
QID_20097,Outline Quantum Physics using an example.,Physics,Quantum Physics,Apply,Final,24,2.7,53.2,Medium
QID_16345,Define Calculus briefly.,Mathematics,Calculus,Remember,Final,30,4.5,89.5,Easy
QID_20618,,Computer Science,AI,Evaluate,Midterm,8,3.0,60.9,Medium
QID_14288,State Networking briefly.,Computer Science,Networking,Remember,Quiz,19,4.8,95.6,Easy
QID_10267,Explain how Networking for a specific case.,Computer Science,Networking,Apply,Final,6,3.3,66.6,Medium
QID_14618,,Mathematics,Geometry,Remember,Midterm,22,4.7,93.1,Easy
QID_11598,Outline AI for a specific case.,Computer Science,AI,Apply,Final,21,3.1,62.1,Medium
QID_14003,List Linear Algebra in simple terms.,Mathematics,Linear Algebra,Remember,Midterm,29,3.9,78.0,Easy
