Question_Text,Subject_Domain,Topic_Subdomain,Bloom_Taxonomy,Historical_Pass_Rate,Difficulty_Level
Describe Networking for a specific case.,Computer Science,Networking,Apply,65.8,Medium
Synthesize Mechanics in distributed latency environments.,Physics,Mechanics,Evaluate,41.2,Hard
Illustrate Database for a specific case.,Computer Science,Database,Apply,43.8,Hard
Illustrate Optics in practice.,Physics,Optics,Apply,69.4,Medium
Synthesize Thermodynamics in distributed latency environments.,Physics,Thermodynamics,Evaluate,34.9,Hard
Differentiate between Calculus diagrammatically.,Mathematics,Calculus,Apply,49.6,Medium
Derive the formula for Calculus in distributed latency environments.,Mathematics,Calculus,Evaluate,32.0,Hard
List Linear Algebra in simple terms?,Mathematics,Linear Algebra,Remember,82.8,Easy
Which of these is Data Structures as defined in the textbook?,Computer Science,Data Structures,Remember,89.7,Easy
Compare Optics in a standard system.,Physics,Optics,Apply,44.2,Hard
Define Linear Algebra according to basic principles?,Mathematics,Linear Algebra,Remember,87.1,Easy
State Linear Algebra briefly?,Mathematics,Linear Algebra,Remember,85.9,Easy
Name Probability in simple terms?,Mathematics,Probability,Remember,82.6,Easy
Synthesize Statistics under extreme constraints.,Mathematics,Statistics,Evaluate,20.3,Hard
Identify Relativity briefly?,Physics,Relativity,Remember,97.0,Easy
Synthesize Thermodynamics with mathematical proofs.,Physics,Thermodynamics,Evaluate,47.6,Medium
Compare Quantum Physics in a standard system.,Physics,Quantum Physics,Apply,55.9,Medium
Explain how Thermodynamics in a standard system.,Physics,Thermodynamics,Apply,59.0,Medium
Hypothesize Probability considering edge cases.,Mathematics,Probability,Evaluate,35.7,Hard
Explain how Calculus using an example.,Mathematics,Calculus,Apply,65.0,Medium
Differentiate between AI for a specific case.,Computer Science,AI,Apply,52.7,Medium
Evaluate the limitations of Geometry under extreme constraints.,Mathematics,Geometry,Evaluate,23.5,Hard
Calculate Calculus in a standard system.,Mathematics,Calculus,Apply,70.0,Medium
,Computer Science,Database,Remember,85.7,Easy
Illustrate Geometry for a specific case.,Mathematics,Geometry,Apply,55.7,Medium
Define Geometry in simple terms?,Mathematics,Geometry,Remember,86.1,Easy
Differentiate between Optics for a specific case.,Physics,Optics,Apply,69.5,Medium
Synthesize Database considering edge cases.,Computer Science,Database,Evaluate,12.3,Hard
Propose a solution for Geometry in distributed latency environments.,Mathematics,Geometry,Evaluate,37.1,Hard
Evaluate the limitations of Quantum Physics under extreme constraints.,Physics,Quantum Physics,Evaluate,28.4,Hard
Differentiate between Statistics in practice.,Mathematics,Statistics,Apply,76.1,Easy
List Networking as defined in the textbook?,Computer Science,Networking,Remember,96.6,Easy
Illustrate Relativity in practice.,Physics,Relativity,Apply,67.0,Medium
,Computer Science,Data Structures,Evaluate,30.1,Hard
Differentiate between Optics diagrammatically.,Physics,Optics,Apply,54.0,Medium
Calculate AI diagrammatically.,Computer Science,AI,Apply,61.0,Medium
Hypothesize Relativity assuming failure modes.,Physics,Relativity,Evaluate,39.1,Hard
Outline Quantum Physics using an example.,Physics,Quantum Physics,Apply,67.6,Medium
Calculate Data Structures using an example.,Computer Science,Data Structures,Apply,53.4,Medium
Derive the formula for Optics with mathematical proofs.,Physics,Optics,Evaluate,44.4,Hard
Synthesize Data Structures in distributed latency environments.,Computer Science,Data Structures,Evaluate,40.1,Hard
Which of these is Relativity briefly?,Physics,Relativity,Remember,87.7,Easy
Describe Relativity in a standard system.,Physics,Relativity,Apply,83.6,Easy
Describe Calculus in practice.,Mathematics,Calculus,Apply,50.0,Medium
Differentiate between Relativity in practice.,Physics,Relativity,Apply,54.4,Medium
Derive the formula for Linear Algebra assuming failure modes.,Mathematics,Linear Algebra,Evaluate,53.3,Medium
Critically analyze Geometry assuming failure modes.,Mathematics,Geometry,Evaluate,12.7,Hard
Synthesize Database under extreme constraints.,Computer Science,Database,Evaluate,49.9,Medium
Hypothesize AI in distributed latency environments.,Computer Science,AI,Evaluate,31.3,Hard
Name Probability,Mathematics,Probability,Remember,76.9,Easy
Define Statistics as defined in the textbook?,Mathematics,Statistics,Remember,85.7,Easy
Derive the formula for Data Structures assuming failure modes.,Computer Science,Data Structures,Evaluate,30.9,Hard
Hypothesize Probability under extreme constraints.,Mathematics,Probability,Evaluate,49.7,Medium
Derive the formula for Mechanics assuming failure modes.,Physics,Mechanics,Evaluate,29.7,Hard
Propose a solution for Relativity assuming failure modes.,Physics,Relativity,Evaluate,52.5,Medium
Define Database,Computer Science,Database,Remember,95.1,Easy
Derive the formula for Data Structures with mathematical proofs.,Computer Science,Data Structures,Evaluate,46.1,Medium
Hypothesize Linear Algebra with mathematical proofs.,Mathematics,Linear Algebra,Evaluate,39.5,Hard
Name Calculus,Mathematics,Calculus,Remember,90.3,Easy
Which of these is Probability,Mathematics,Probability,Remember,94.2,Easy
Calculate Mechanics diagrammatically.,Physics,Mechanics,Apply,63.7,Medium
Illustrate Probability diagrammatically.,Mathematics,Probability,Apply,60.5,Medium
Which of these is Geometry in simple terms?,Mathematics,Geometry,Remember,94.6,Easy
Explain how Probability in practice.,Mathematics,Probability,Apply,54.6,Medium
What is Mechanics,Physics,Mechanics,Remember,94.6,Easy
Critically analyze Relativity assuming failure modes.,Physics,Relativity,Evaluate,37.6,Hard
Propose a solution for Probability considering edge cases.,Mathematics,Probability,Evaluate,47.4,Medium
Describe Mechanics in practice.,Physics,Mechanics,Apply,73.6,Medium
Evaluate the limitations of Relativity considering edge cases.,Physics,Relativity,Evaluate,22.7,Hard
Evaluate the limitations of Calculus under extreme constraints.,Mathematics,Calculus,Evaluate,36.2,Hard
What is Geometry,Mathematics,Geometry,Remember,91.7,Easy
Name Probability in simple terms?,Mathematics,Probability,Remember,84.1,Easy
Hypothesize Networking assuming failure modes.,Computer Science,Networking,Evaluate,22.8,Hard
Synthesize Mechanics considering edge cases.,Physics,Mechanics,Evaluate,39.7,Hard
Evaluate the limitations of Optics under extreme constraints.,Physics,Optics,Evaluate,31.8,Hard
Name AI briefly?,Computer Science,AI,Remember,85.3,Easy
Synthesize Mechanics in distributed latency environments.,Physics,Mechanics,Evaluate,44.0,Hard
Which of these is Algorithms,Computer Science,Algorithms,Remember,87.0,Easy
State Data Structures in simple terms?,Computer Science,Data Structures,Remember,93.6,Easy
Propose a solution for Database in distributed latency environments.,Computer Science,Database,Evaluate,20.8,Hard
Critically analyze Mechanics assuming failure modes.,Physics,Mechanics,Evaluate,47.0,Medium
Critically analyze Optics with mathematical proofs.,Physics,Optics,Evaluate,33.5,Hard
What is Networking according to basic principles?,Computer Science,Networking,Remember,91.7,Easy
Synthesize Networking in distributed latency environments.,Computer Science,Networking,Evaluate,32.0,Hard
Differentiate between Relativity in a standard system.,Physics,Relativity,Apply,65.2,Medium
Hypothesize Networking under extreme constraints.,Computer Science,Networking,Evaluate,39.7,Hard
Derive the formula for Relativity with mathematical proofs.,Physics,Relativity,Evaluate,57.8,Medium
Critically analyze Mechanics in distributed latency environments.,Physics,Mechanics,Evaluate,20.8,Hard
Synthesize Algorithms in distributed latency environments.,Computer Science,Algorithms,Evaluate,44.6,Hard
Calculate Data Structures for a specific case.,Computer Science,Data Structures,Apply,58.6,Medium
Propose a solution for AI under extreme constraints.,Computer Science,AI,Evaluate,29.6,Hard
List Statistics briefly?,Mathematics,Statistics,Remember,84.0,Easy
Identify Statistics according to basic principles?,Mathematics,Statistics,Remember,86.1,Easy
Compare Database using an example.,Computer Science,Database,Apply,64.0,Medium
Differentiate between Database using an example.,Computer Science,Database,Apply,79.2,Easy
Derive the formula for Mechanics in distributed latency environments.,Physics,Mechanics,Evaluate,54.3,Medium
List Database according to basic principles?,Computer Science,Database,Remember,82.2,Easy
What is Calculus in simple terms?,Mathematics,Calculus,Remember,95.3,Easy
Derive the formula for Quantum Physics considering edge cases.,Physics,Quantum Physics,Evaluate,28.6,Hard
,Physics,Optics,Evaluate,28.8,Hard
Propose a solution for Relativity in distributed latency environments.,Physics,Relativity,Evaluate,31.3,Hard
Evaluate the limitations of Geometry assuming failure modes.,Mathematics,Geometry,Evaluate,54.1,Medium
List Algorithms as defined in the textbook?,Computer Science,Algorithms,Remember,87.1,Easy
Synthesize Mechanics assuming failure modes.,Physics,Mechanics,Evaluate,37.1,Hard
Evaluate the limitations of Networking considering edge cases.,Computer Science,Networking,Evaluate,48.9,Medium
Critically analyze Linear Algebra assuming failure modes.,Mathematics,Linear Algebra,Evaluate,21.8,Hard
List Optics according to basic principles?,Physics,Optics,Remember,95.3,Easy
Calculate Geometry in a standard system.,Mathematics,Geometry,Apply,62.6,Medium
Outline Statistics diagrammatically.,Mathematics,Statistics,Apply,51.4,Medium
Propose a solution for Optics under extreme constraints.,Physics,Optics,Evaluate,35.4,Hard
Outline Geometry using an example.,Mathematics,Geometry,Apply,47.2,Medium
Differentiate between Geometry diagrammatically.,Mathematics,Geometry,Apply,47.8,Medium
Describe Database in a standard system.,Computer Science,Database,Apply,69.8,Medium
Explain how Linear Algebra using an example.,Mathematics,Linear Algebra,Apply,60.2,Medium
Derive the formula for Calculus considering edge cases.,Mathematics,Calculus,Evaluate,15.5,Hard
Outline Geometry using an example.,Mathematics,Geometry,Apply,57.6,Medium
Synthesize Statistics assuming failure modes.,Mathematics,Statistics,Evaluate,36.8,Hard
,Physics,Mechanics,Remember,90.5,Easy
Critically analyze AI with mathematical proofs.,Computer Science,AI,Evaluate,50.4,Medium
State Linear Algebra according to basic principles?,Mathematics,Linear Algebra,Remember,91.4,Easy
Propose a solution for Thermodynamics with mathematical proofs.,Physics,Thermodynamics,Evaluate,49.8,Medium
State Probability,Mathematics,Probability,Remember,79.5,Easy
Explain how AI for a specific case.,Computer Science,AI,Apply,48.1,Medium
Calculate Networking using an example.,Computer Science,Networking,Apply,59.0,Medium
Critically analyze Probability in distributed latency environments.,Mathematics,Probability,Evaluate,27.4,Hard
Outline Statistics using an example.,Mathematics,Statistics,Apply,43.3,Hard
Name Relativity according to basic principles?,Physics,Relativity,Remember,81.5,Easy
Outline AI in a standard system.,Computer Science,AI,Apply,54.6,Medium
Derive the formula for Optics under extreme constraints.,Physics,Optics,Evaluate,42.2,Hard
Synthesize Networking considering edge cases.,Computer Science,Networking,Evaluate,33.6,Hard
Identify Database according to basic principles?,Computer Science,Database,Remember,98.8,Easy
Derive the formula for Statistics assuming failure modes.,Mathematics,Statistics,Evaluate,26.9,Hard
Differentiate between Optics in a standard system.,Physics,Optics,Apply,65.3,Medium
Hypothesize Data Structures with mathematical proofs.,Computer Science,Data Structures,Evaluate,11.5,Hard
Name Data Structures briefly?,Computer Science,Data Structures,Remember,85.8,Easy
Calculate Optics diagrammatically.,Physics,Optics,Apply,73.4,Medium
Hypothesize Mechanics under extreme constraints.,Physics,Mechanics,Evaluate,44.2,Hard
List Geometry,Mathematics,Geometry,Remember,89.6,Easy
Evaluate the limitations of Quantum Physics in distributed latency environments.,Physics,Quantum Physics,Evaluate,54.0,Medium
List Quantum Physics,Physics,Quantum Physics,Remember,85.0,Easy
Explain how Database in a standard system.,Computer Science,Database,Apply,82.5,Easy
Propose a solution for Mechanics under extreme constraints.,Physics,Mechanics,Evaluate,45.2,Medium
Synthesize Linear Algebra assuming failure modes.,Mathematics,Linear Algebra,Evaluate,56.2,Medium
Critically analyze Probability assuming failure modes.,Mathematics,Probability,Evaluate,31.9,Hard
Outline Linear Algebra using an example.,Mathematics,Linear Algebra,Apply,52.4,Medium
State Geometry,Mathematics,Geometry,Remember,87.8,Easy
Differentiate between Data Structures diagrammatically.,Computer Science,Data Structures,Apply,62.8,Medium
Define Thermodynamics in simple terms?,Physics,Thermodynamics,Remember,76.1,Easy
Name Statistics,Mathematics,Statistics,Remember,88.5,Easy
List Networking as defined in the textbook?,Computer Science,Networking,Remember,89.4,Easy
Name Calculus according to basic principles?,Mathematics,Calculus,Remember,76.0,Easy
Hypothesize Relativity assuming failure modes.,Physics,Relativity,Evaluate,24.8,Hard
Synthesize Networking assuming failure modes.,Computer Science,Networking,Evaluate,41.5,Hard
Critically analyze Networking with mathematical proofs.,Computer Science,Networking,Evaluate,45.0,Hard
Critically analyze Calculus considering edge cases.,Mathematics,Calculus,Evaluate,10.7,Hard
Evaluate the limitations of Data Structures considering edge cases.,Computer Science,Data Structures,Evaluate,39.5,Hard
Propose a solution for Relativity considering edge cases.,Physics,Relativity,Evaluate,36.0,Hard
Calculate Algorithms diagrammatically.,Computer Science,Algorithms,Apply,38.1,Hard
Calculate Networking in practice.,Computer Science,Networking,Apply,62.6,Medium
Propose a solution for Data Structures under extreme constraints.,Computer Science,Data Structures,Evaluate,41.8,Hard
Synthesize Probability considering edge cases.,Mathematics,Probability,Evaluate,33.4,Hard
Define Quantum Physics in simple terms?,Physics,Quantum Physics,Remember,86.1,Easy
List Networking in simple terms?,Computer Science,Networking,Remember,100.0,Easy
Evaluate the limitations of AI considering edge cases.,Computer Science,AI,Evaluate,44.9,Hard
Describe Quantum Physics using an example.,Physics,Quantum Physics,Apply,53.3,Medium
Propose a solution for Mechanics considering edge cases.,Physics,Mechanics,Evaluate,33.2,Hard
What is Database according to basic principles?,Computer Science,Database,Remember,84.2,Easy
Name Database according to basic principles?,Computer Science,Database,Remember,78.7,Easy
Identify Mechanics in simple terms?,Physics,Mechanics,Remember,80.1,Easy
Hypothesize Statistics assuming failure modes.,Mathematics,Statistics,Evaluate,33.4,Hard
Compare Probability diagrammatically.,Mathematics,Probability,Apply,69.0,Medium
Evaluate the limitations of Data Structures considering edge cases.,Computer Science,Data Structures,Evaluate,42.3,Hard
,Mathematics,Linear Algebra,Apply,58.4,Medium
Calculate Quantum Physics in a standard system.,Physics,Quantum Physics,Apply,50.7,Medium
Describe Quantum Physics for a specific case.,Physics,Quantum Physics,Apply,76.6,Easy
Which of these is Quantum Physics,Physics,Quantum Physics,Remember,97.3,Easy
Calculate Optics diagrammatically.,Physics,Optics,Apply,66.5,Medium
Critically analyze AI considering edge cases.,Computer Science,AI,Evaluate,60.2,Medium
What is Calculus as defined in the textbook?,Mathematics,Calculus,Remember,90.4,Easy
Explain how AI using an example.,Computer Science,AI,Apply,62.4,Medium
Describe Networking for a specific case.,Computer Science,Networking,Apply,57.1,Medium
List Linear Algebra according to basic principles?,Mathematics,Linear Algebra,Remember,100.0,Easy
List Probability according to basic principles?,Mathematics,Probability,Remember,100.0,Easy
Derive the formula for Linear Algebra with mathematical proofs.,Mathematics,Linear Algebra,Evaluate,31.9,Hard
Evaluate the limitations of Probability with mathematical proofs.,Mathematics,Probability,Evaluate,51.4,Medium
Differentiate between Quantum Physics in a standard system.,Physics,Quantum Physics,Apply,59.8,Medium
Hypothesize Optics with mathematical proofs.,Physics,Optics,Evaluate,52.6,Medium
Compare Probability in practice.,Mathematics,Probability,Apply,48.2,Medium
Critically analyze Probability with mathematical proofs.,Mathematics,Probability,Evaluate,37.1,Hard
Define Probability in simple terms?,Mathematics,Probability,Remember,90.1,Easy
Evaluate the limitations of Calculus assuming failure modes.,Mathematics,Calculus,Evaluate,37.7,Hard
Outline Linear Algebra using an example.,Mathematics,Linear Algebra,Apply,58.5,Medium
Derive the formula for Optics assuming failure modes.,Physics,Optics,Evaluate,40.8,Hard
Describe Probability for a specific case.,Mathematics,Probability,Apply,56.3,Medium
Propose a solution for Mechanics assuming failure modes.,Physics,Mechanics,Evaluate,31.6,Hard
Identify Relativity in simple terms?,Physics,Relativity,Remember,67.8,Medium
Describe Thermodynamics diagrammatically.,Physics,Thermodynamics,Apply,54.5,Medium
Derive the formula for Database assuming failure modes.,Computer Science,Database,Evaluate,17.5,Hard
State AI,Computer Science,AI,Remember,78.3,Easy
Differentiate between Quantum Physics for a specific case.,Physics,Quantum Physics,Apply,48.1,Medium
What is Thermodynamics,Physics,Thermodynamics,Remember,74.5,Medium
Propose a solution for Linear Algebra assuming failure modes.,Mathematics,Linear Algebra,Evaluate,31.6,Hard
Critically analyze Networking with mathematical proofs.,Computer Science,Networking,Evaluate,46.0,Medium
Propose a solution for Database in distributed latency environments.,Computer Science,Database,Evaluate,19.2,Hard
Hypothesize Geometry considering edge cases.,Mathematics,Geometry,Evaluate,32.1,Hard
Synthesize Optics in distributed latency environments.,Physics,Optics,Evaluate,53.4,Medium
Hypothesize Algorithms with mathematical proofs.,Computer Science,Algorithms,Evaluate,41.9,Hard
Calculate Mechanics using an example.,Physics,Mechanics,Apply,70.3,Medium
What is Algorithms in simple terms?,Computer Science,Algorithms,Remember,72.4,Medium
Identify Database according to basic principles?,Computer Science,Database,Remember,88.6,Easy
Differentiate between Thermodynamics for a specific case.,Physics,Thermodynamics,Apply,61.8,Medium
Explain how Quantum Physics for a specific case.,Physics,Quantum Physics,Apply,47.8,Medium
Differentiate between Statistics for a specific case.,Mathematics,Statistics,Apply,61.9,Medium
Describe Linear Algebra in practice.,Mathematics,Linear Algebra,Apply,59.6,Medium
Outline Data Structures for a specific case.,Computer Science,Data Structures,Apply,73.8,Medium
Differentiate between Probability diagrammatically.,Mathematics,Probability,Apply,69.1,Medium
Explain how Database for a specific case.,Computer Science,Database,Apply,60.6,Medium
Evaluate the limitations of Database in distributed latency environments.,Computer Science,Database,Evaluate,28.9,Hard
Derive the formula for Networking considering edge cases.,Computer Science,Networking,Evaluate,43.6,Hard
Derive the formula for Relativity assuming failure modes.,Physics,Relativity,Evaluate,44.2,Hard
Explain how Geometry diagrammatically.,Mathematics,Geometry,Apply,55.6,Medium
Derive the formula for Mechanics with mathematical proofs.,Physics,Mechanics,Evaluate,40.0,Hard
Compare Calculus diagrammatically.,Mathematics,Calculus,Apply,52.7,Medium
Explain how Thermodynamics in a standard system.,Physics,Thermodynamics,Apply,50.3,Medium
Identify Linear Algebra as defined in the textbook?,Mathematics,Linear Algebra,Remember,91.7,Easy
Outline Probability for a specific case.,Mathematics,Probability,Apply,57.0,Medium
Synthesize Statistics under extreme constraints.,Mathematics,Statistics,Evaluate,23.2,Hard
List Optics according to basic principles?,Physics,Optics,Remember,78.2,Easy
Synthesize Optics in distributed latency environments.,Physics,Optics,Evaluate,27.3,Hard
List Calculus as defined in the textbook?,Mathematics,Calculus,Remember,95.5,Easy
Critically analyze Database considering edge cases.,Computer Science,Database,Evaluate,31.7,Hard
Calculate Geometry in a standard system.,Mathematics,Geometry,Apply,41.2,Hard
Hypothesize Algorithms with mathematical proofs.,Computer Science,Algorithms,Evaluate,33.4,Hard
Propose a solution for AI assuming failure modes.,Computer Science,AI,Evaluate,27.1,Hard
Which of these is Networking according to basic principles?,Computer Science,Networking,Remember,89.2,Easy
Describe Relativity for a specific case.,Physics,Relativity,Apply,70.9,Medium
Outline Networking in a standard system.,Computer Science,Networking,Apply,41.9,Hard
Evaluate the limitations of Relativity assuming failure modes.,Physics,Relativity,Evaluate,26.4,Hard
Evaluate the limitations of Geometry under extreme constraints.,Mathematics,Geometry,Evaluate,32.0,Hard
Propose a solution for Probability with mathematical proofs.,Mathematics,Probability,Evaluate,26.6,Hard
Identify Optics according to basic principles?,Physics,Optics,Remember,75.5,Easy
Critically analyze Linear Algebra in distributed latency environments.,Mathematics,Linear Algebra,Evaluate,34.9,Hard
Hypothesize Statistics in distributed latency environments.,Mathematics,Statistics,Evaluate,48.2,Medium
Synthesize Data Structures assuming failure modes.,Computer Science,Data Structures,Evaluate,23.1,Hard
Identify Quantum Physics according to basic principles?,Physics,Quantum Physics,Remember,83.3,Easy
Compare Algorithms diagrammatically.,Computer Science,Algorithms,Apply,57.2,Medium
Name Algorithms according to basic principles?,Computer Science,Algorithms,Remember,81.6,Easy
Define Probability briefly?,Mathematics,Probability,Remember,90.9,Easy
Synthesize Database assuming failure modes.,Computer Science,Database,Evaluate,27.1,Hard
Which of these is Data Structures according to basic principles?,Computer Science,Data Structures,Remember,79.3,Easy
Derive the formula for Algorithms considering edge cases.,Computer Science,Algorithms,Evaluate,29.3,Hard
Evaluate the limitations of Calculus with mathematical proofs.,Mathematics,Calculus,Evaluate,30.7,Hard
Compare Quantum Physics for a specific case.,Physics,Quantum Physics,Apply,58.7,Medium
Hypothesize Relativity with mathematical proofs.,Physics,Relativity,Evaluate,35.9,Hard
Compare Mechanics using an example.,Physics,Mechanics,Apply,56.6,Medium
Describe Statistics diagrammatically.,Mathematics,Statistics,Apply,50.0,Medium
Critically analyze Data Structures under extreme constraints.,Computer Science,Data Structures,Evaluate,34.2,Hard
What is Calculus,Mathematics,Calculus,Remember,83.3,Easy
Which of these is Optics according to basic principles?,Physics,Optics,Remember,99.3,Easy
What is Geometry as defined in the textbook?,Mathematics,Geometry,Remember,94.2,Easy
Derive the formula for Database in distributed latency environments.,Computer Science,Database,Evaluate,50.5,Medium
List Optics in simple terms?,Physics,Optics,Remember,93.3,Easy
Compare Algorithms using an example.,Computer Science,Algorithms,Apply,46.4,Medium
Identify Calculus according to basic principles?,Mathematics,Calculus,Remember,100.0,Easy
Evaluate the limitations of Database in distributed latency environments.,Computer Science,Database,Evaluate,28.5,Hard
What is Calculus briefly?,Mathematics,Calculus,Remember,100.0,Easy
Describe Calculus for a specific case.,Mathematics,Calculus,Apply,79.5,Easy
Calculate Quantum Physics for a specific case.,Physics,Quantum Physics,Apply,61.3,Medium
Propose a solution for Algorithms assuming failure modes.,Computer Science,Algorithms,Evaluate,20.8,Hard
Illustrate Thermodynamics diagrammatically.,Physics,Thermodynamics,Apply,48.6,Medium
Hypothesize Statistics in distributed latency environments.,Mathematics,Statistics,Evaluate,45.0,Hard
Differentiate between Probability using an example.,Mathematics,Probability,Apply,59.2,Medium
Propose a solution for Statistics assuming failure modes.,Mathematics,Statistics,Evaluate,19.9,Hard
What is Probability,Mathematics,Probability,Remember,92.0,Easy
List Relativity briefly?,Physics,Relativity,Remember,83.5,Easy
Differentiate between Linear Algebra in a standard system.,Mathematics,Linear Algebra,Apply,65.7,Medium
Derive the formula for AI assuming failure modes.,Computer Science,AI,Evaluate,33.7,Hard
State Quantum Physics according to basic principles?,Physics,Quantum Physics,Remember,100.0,Easy
Evaluate the limitations of Probability with mathematical proofs.,Mathematics,Probability,Evaluate,36.6,Hard
Describe Optics diagrammatically.,Physics,Optics,Apply,65.6,Medium
Name Data Structures,Computer Science,Data Structures,Remember,93.4,Easy
Explain how Linear Algebra in a standard system.,Mathematics,Linear Algebra,Apply,59.0,Medium
Which of these is Optics,Physics,Optics,Remember,77.9,Easy
Evaluate the limitations of Data Structures with mathematical proofs.,Computer Science,Data Structures,Evaluate,30.3,Hard
Which of these is Relativity,Physics,Relativity,Remember,82.3,Easy
Calculate Networking in a standard system.,Computer Science,Networking,Apply,53.1,Medium
Outline Calculus in a standard system.,Mathematics,Calculus,Apply,61.5,Medium
Propose a solution for Linear Algebra under extreme constraints.,Mathematics,Linear Algebra,Evaluate,47.9,Medium
Hypothesize AI in distributed latency environments.,Computer Science,AI,Evaluate,44.1,Hard
Compare Calculus for a specific case.,Mathematics,Calculus,Apply,70.6,Medium
Identify Thermodynamics according to basic principles?,Physics,Thermodynamics,Remember,83.3,Easy
Outline AI in a standard system.,Computer Science,AI,Apply,77.6,Easy
Which of these is AI briefly?,Computer Science,AI,Remember,82.8,Easy
Calculate AI in practice.,Computer Science,AI,Apply,70.2,Medium
Synthesize Data Structures considering edge cases.,Computer Science,Data Structures,Evaluate,28.1,Hard
Derive the formula for Optics assuming failure modes.,Physics,Optics,Evaluate,41.2,Hard
Synthesize Database under extreme constraints.,Computer Science,Database,Evaluate,35.0,Hard
Propose a solution for Thermodynamics under extreme constraints.,Physics,Thermodynamics,Evaluate,35.5,Hard
Hypothesize Quantum Physics with mathematical proofs.,Physics,Quantum Physics,Evaluate,34.0,Hard
State Statistics briefly?,Mathematics,Statistics,Remember,88.6,Easy
Evaluate the limitations of Probability under extreme constraints.,Mathematics,Probability,Evaluate,37.0,Hard
Which of these is Probability,Mathematics,Probability,Remember,87.4,Easy
Explain how Networking in practice.,Computer Science,Networking,Apply,48.0,Medium
Evaluate the limitations of Networking assuming failure modes.,Computer Science,Networking,Evaluate,27.0,Hard
Compare Relativity diagrammatically.,Physics,Relativity,Apply,57.2,Medium
Identify Thermodynamics according to basic principles?,Physics,Thermodynamics,Remember,83.3,Easy
Hypothesize Quantum Physics considering edge cases.,Physics,Quantum Physics,Evaluate,36.3,Hard
Compare Statistics in a standard system.,Mathematics,Statistics,Apply,53.9,Medium
Differentiate between Quantum Physics for a specific case.,Physics,Quantum Physics,Apply,58.6,Medium
Synthesize Statistics considering edge cases.,Mathematics,Statistics,Evaluate,21.8,Hard
Name Data Structures,Computer Science,Data Structures,Remember,94.6,Easy
Define Geometry,Mathematics,Geometry,Remember,78.8,Easy
Derive the formula for Relativity assuming failure modes.,Physics,Relativity,Evaluate,29.4,Hard
Which of these is Geometry,Mathematics,Geometry,Remember,74.4,Medium
Name Relativity in simple terms?,Physics,Relativity,Remember,84.4,Easy
Evaluate the limitations of Networking in distributed latency environments.,Computer Science,Networking,Evaluate,42.9,Hard
Synthesize Data Structures considering edge cases.,Computer Science,Data Structures,Evaluate,9.2,Hard
Explain how Networking in practice.,Computer Science,Networking,Apply,51.2,Medium
Explain how Data Structures for a specific case.,Computer Science,Data Structures,Apply,49.6,Medium
Critically analyze Probability assuming failure modes.,Mathematics,Probability,Evaluate,18.6,Hard
Compare Algorithms using an example.,Computer Science,Algorithms,Apply,58.1,Medium
Differentiate between AI using an example.,Computer Science,AI,Apply,52.8,Medium
Critically analyze Relativity considering edge cases.,Physics,Relativity,Evaluate,9.3,Hard
Derive the formula for Mechanics with mathematical proofs.,Physics,Mechanics,Evaluate,25.7,Hard
List Thermodynamics in simple terms?,Physics,Thermodynamics,Remember,77.1,Easy
Name Thermodynamics,Physics,Thermodynamics,Remember,90.0,Easy
Identify Linear Algebra briefly?,Mathematics,Linear Algebra,Remember,100.0,Easy
Which of these is AI briefly?,Computer Science,AI,Remember,98.3,Easy
Illustrate Optics in a standard system.,Physics,Optics,Apply,63.7,Medium
Outline Algorithms diagrammatically.,Computer Science,Algorithms,Apply,48.1,Medium
Compare Relativity diagrammatically.,Physics,Relativity,Apply,55.8,Medium
Define Quantum Physics,Physics,Quantum Physics,Remember,87.8,Easy
State Mechanics,Physics,Mechanics,Remember,82.1,Easy
Compare Probability using an example.,Mathematics,Probability,Apply,51.7,Medium
Hypothesize Quantum Physics considering edge cases.,Physics,Quantum Physics,Evaluate,19.5,Hard
Derive the formula for Linear Algebra in distributed latency environments.,Mathematics,Linear Algebra,Evaluate,40.6,Hard
Propose a solution for Database with mathematical proofs.,Computer Science,Database,Evaluate,27.7,Hard
Name Quantum Physics according to basic principles?,Physics,Quantum Physics,Remember,93.7,Easy
Explain how Data Structures in a standard system.,Computer Science,Data Structures,Apply,59.4,Medium
Hypothesize Algorithms under extreme constraints.,Computer Science,Algorithms,Evaluate,40.2,Hard
Synthesize Calculus with mathematical proofs.,Mathematics,Calculus,Evaluate,29.3,Hard
Describe Data Structures in a standard system.,Computer Science,Data Structures,Apply,50.9,Medium
Calculate Data Structures using an example.,Computer Science,Data Structures,Apply,72.8,Medium
Which of these is Optics in simple terms?,Physics,Optics,Remember,62.7,Medium
Derive the formula for Optics assuming failure modes.,Physics,Optics,Evaluate,32.1,Hard
Evaluate the limitations of Probability considering edge cases.,Mathematics,Probability,Evaluate,47.4,Medium
Synthesize Data Structures in distributed latency environments.,Computer Science,Data Structures,Evaluate,33.7,Hard
Describe Networking in a standard system.,Computer Science,Networking,Apply,64.2,Medium
Synthesize Linear Algebra with mathematical proofs.,Mathematics,Linear Algebra,Evaluate,47.4,Medium
List Networking briefly?,Computer Science,Networking,Remember,100.0,Easy
Calculate Networking using an example.,Computer Science,Networking,Apply,64.0,Medium
What is Quantum Physics in simple terms?,Physics,Quantum Physics,Remember,93.9,Easy
